Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 20:28:09,0.002,33.102%,33.1C,0%,0%,1.5GHz,78.3%,69.4%,0s/0s,NoFlag,
14/11/2019 20:28:14,0.003,3.0%,33.59C,-342.6%,0%,0.6GHz,78.3%,69.4%,4.99972s/1.359382s,NoFlag,
14/11/2019 20:28:19,0.004,4.0%,33.59C,-342.6%,0%,0.6GHz,78.3%,69.4%,4.999885s/1.285714s,NoFlag,
14/11/2019 20:28:24,0.005,8.8%,36.02C,-312.2%,0%,0.6GHz,78.3%,69.4%,4.999897s/1.268869s,NoFlag,
14/11/2019 20:28:29,0.006,4.3%,35.05C,-324.4%,0%,0.6GHz,78.4%,69.4%,4.999884s/1.293744s,NoFlag,
14/11/2019 20:28:34,0.007,1.2%,36.51C,-306.1%,0%,0.6GHz,78.3%,69.4%,4.999355s/1.312777s,NoFlag,
14/11/2019 20:28:39,0.008,3.0%,37.48C,-293.9%,0%,0.6GHz,78.4%,69.4%,4.999956s/1.322762s,NoFlag,
14/11/2019 20:28:44,0.009,2.8%,37.0C,-300.0%,0%,0.6GHz,78.5%,69.4%,4.999006s/1.291102s,NoFlag,
14/11/2019 20:28:49,0.01,7.2%,37.48C,-293.9%,0%,0.6GHz,78.5%,69.4%,4.999926s/1.317098s,NoFlag,
14/11/2019 20:28:54,0.011,3.3%,37.97C,-287.8%,0%,0.6GHz,78.5%,69.4%,4.999971s/1.297819s,NoFlag,
14/11/2019 20:28:59,0.012,5.0%,39.43C,-269.6%,0%,0.6GHz,78.5%,69.4%,4.999978s/1.292429s,NoFlag,
14/11/2019 20:29:04,0.013,7.5%,40.41C,-257.4%,0%,0.6GHz,78.5%,69.4%,4.99996s/1.288445s,NoFlag,
14/11/2019 20:29:09,0.014,2.3%,39.92C,-263.5%,0%,0.6GHz,78.4%,69.4%,4.999624s/1.632827s,NoFlag,
14/11/2019 20:29:14,0.015,9.5%,40.41C,-257.4%,0%,0.6GHz,78.4%,69.4%,4.999985s/1.305425s,NoFlag,
14/11/2019 20:29:19,0.016,0.5%,40.41C,-257.4%,0%,0.6GHz,78.4%,69.4%,4.999997s/1.295345s,NoFlag,
14/11/2019 20:29:24,0.017,2.5%,40.41C,-257.4%,0%,0.6GHz,78.4%,69.4%,5.000025s/1.275683s,NoFlag,
14/11/2019 20:29:29,0.018,3.3%,40.41C,-257.4%,0%,0.6GHz,78.4%,69.4%,5.000006s/1.287334s,NoFlag,
14/11/2019 20:29:34,0.019,0.3%,40.89C,-251.3%,0%,0.6GHz,78.4%,69.4%,5.000015s/1.28012s,NoFlag,
14/11/2019 20:29:39,0.02,8.9%,40.89C,-251.3%,0%,0.6GHz,78.4%,69.4%,5.000001s/1.293082s,NoFlag,
14/11/2019 20:29:44,0.021,4.8%,41.38C,-245.2%,0%,0.6GHz,78.5%,69.4%,5.000001s/1.291989s,NoFlag,
14/11/2019 20:29:49,0.022,0.7%,41.87C,-239.1%,0%,0.6GHz,78.5%,69.4%,4.999975s/1.318501s,NoFlag,
14/11/2019 20:29:54,0.023,6.4%,41.87C,-239.1%,0%,0.6GHz,78.5%,69.4%,4.99995s/1.343844s,NoFlag,
14/11/2019 20:29:59,0.024,4.5%,42.35C,-233.1%,0%,0.6GHz,78.5%,69.4%,5.000016s/1.285312s,NoFlag,
14/11/2019 20:30:04,0.025,2.3%,42.35C,-233.1%,0%,0.6GHz,78.5%,69.4%,4.99992s/1.34373s,NoFlag,
14/11/2019 20:30:09,0.026,3.0%,42.84C,-227.0%,0%,0.6GHz,78.5%,69.4%,4.999657s/1.620768s,NoFlag,
14/11/2019 20:30:14,0.027,2.8%,42.84C,-227.0%,0%,0.6GHz,78.5%,69.4%,5.000014s/1.306243s,NoFlag,
14/11/2019 20:30:19,0.028,8.0%,42.84C,-227.0%,0%,0.6GHz,78.5%,69.4%,5.000007s/1.303916s,NoFlag,
14/11/2019 20:30:24,0.029,3.2%,43.33C,-220.9%,0%,0.6GHz,78.6%,69.4%,4.999974s/1.321649s,NoFlag,
14/11/2019 20:30:29,0.03,4.2%,42.84C,-227.0%,0%,0.6GHz,78.7%,69.4%,5.000021s/1.304371s,NoFlag,
14/11/2019 20:30:34,0.031,7.0%,44.3C,-208.7%,0%,1.5GHz,78.5%,69.4%,4.999982s/1.330924s,NoFlag,
14/11/2019 20:30:39,0.032,11.3%,44.3C,-208.7%,0%,0.6GHz,78.5%,69.4%,4.999965s/1.317284s,NoFlag,
14/11/2019 20:30:44,0.033,10.4%,45.28C,-196.5%,0%,0.6GHz,78.6%,69.4%,4.999955s/1.307619s,NoFlag,
14/11/2019 20:30:49,0.034,1.0%,44.3C,-208.7%,0%,0.6GHz,78.6%,69.4%,4.999984s/1.305438s,NoFlag,
14/11/2019 20:30:54,0.035,3.0%,44.79C,-202.6%,0%,0.6GHz,78.6%,69.4%,4.999386s/1.300118s,NoFlag,
14/11/2019 20:30:59,0.036,3.0%,44.3C,-208.7%,0%,0.6GHz,78.6%,69.4%,5.000042s/1.310048s,NoFlag,
14/11/2019 20:31:04,0.037,1.8%,44.3C,-208.7%,0%,0.6GHz,78.6%,69.4%,5.000042s/1.303042s,NoFlag,
14/11/2019 20:31:09,0.038,13.0%,44.79C,-202.6%,0%,0.6GHz,78.6%,69.4%,4.999754s/1.590893s,NoFlag,
14/11/2019 20:31:14,0.039,2.3%,45.76C,-190.4%,0%,0.6GHz,78.6%,69.4%,5.000028s/1.305435s,NoFlag,
14/11/2019 20:31:19,0.04,2.0%,44.79C,-202.6%,0%,0.6GHz,78.6%,69.4%,5.000065s/1.288089s,NoFlag,
14/11/2019 20:31:24,0.041,6.5%,44.3C,-208.7%,0%,0.6GHz,78.6%,69.4%,5.000072s/1.285768s,NoFlag,
14/11/2019 20:31:29,0.042,2.5%,45.28C,-196.5%,0%,0.6GHz,78.6%,69.4%,5.000051s/1.29904s,NoFlag,
